Nº,Local,Localização real
1,Arena Mané Garrincha,"Eixo Monumental, SRPN, Asa Norte, Brasília–DF, CEP 70070-701."
2,Autódromo Internacional de Brasília,"SRPN Trecho 1, Plano Piloto, Brasília–DF, CEP 70297-400."
3,Bnb Biblioteca Nacional De Brasília,"Setor Cultural da República, Área Cívica, SCTS, Brasília–DF, CEP 70070-150."
4,Brasília Shopping,"SCN Quadra 05, Bloco A, Asa Norte, Brasília–DF, CEP 70715-900."
5,Caixa Cultural Brasília,"SBS Quadra 4, Bloco A, Lotes 3/4, Asa Sul, Brasília–DF, CEP 70092-900."
6,Calçadão da Asa Norte,"Margem do Lago Paranoá, no encontro das vias L2 e L4 Norte, próximo à Ponte do Bragueto."
7,Catedral Metropolitana Nossa Senhora Aparecida,"Esplanada dos Ministérios, Plano Piloto, Brasília–DF, CEP 70050-000."
8,Cine Brasília,"EQS 106/107 Sul, Asa Sul, Brasília–DF, CEP 70345-400."
9,Clube do Choro de Brasília,"SDC, Bloco G, Plano Piloto, Brasília–DF, CEP 70070-350."
10,Congresso Nacional,"Praça dos Três Poderes, Brasília–DF, CEP 70165-900."
11,Espaço Cultural Renato Russo,"508 Sul, Bloco A, Asa Sul, Brasília–DF, CEP 70351-515."
12,Esplanada dos Ministérios,"Eixo Monumental, entre a Rodoviária do Plano Piloto e a Praça dos Três Poderes, Brasília–DF."
13,Feira da Torre de TV,"Feira de Artesanato da Torre de TV, setor SDC, junto à Torre de TV, Brasília–DF, CEP 70070-350."
14,IESB,"Campus Edson Machado, SGAS 613/614, Lotes 97 e 98, Asa Sul, Brasília–DF."
15,Igrejinha Nossa Senhora de Fátima,"EQS 307/308 Sul, Asa Sul, Brasília–DF, CEP 70354-400."
16,Liberty Mall Shopping,"SCN Quadra 2, Bloco D, Asa Norte, Brasília–DF, CEP 70077-900."
17,Lucio Costa,"Praça dos Três Poderes, Plano Piloto, Brasília–DF. É o Espaço Lúcio Costa, localizado sob a praça."
18,Memorial JK,"Eixo Monumental – lado oeste, Praça do Cruzeiro, Brasília–DF, CEP 70070-300."
19,Memorial dos Povos Indígenas,"Zona Cívico-Administrativa, em frente ao Memorial JK, Brasília–DF, CEP 70070-300."
20,Museu Nacional da República,"SCTS, Lote 2, Setor Cultural da República, Plano Piloto, Brasília–DF."
21,Palácio do Planalto,"Praça dos Três Poderes, Brasília–DF, CEP 70150-900."
22,Palácio Itamaraty,"Esplanada dos Ministérios, Bloco H, Brasília–DF, CEP 70050-000."
23,Panteão da Pátria,"Praça dos Três Poderes, Plano Piloto, Brasília–DF."
24,Parque da Cidade Sarah Kubitschek,"SRPS – Setor de Recreação Pública Sul, Asa Sul, Brasília–DF, CEP 70635-815."
25,Parque das Garças,"QL 15, Lago Norte, Brasília–DF, CEP 71535-295."
26,Parque Ecológico Asa Sul,"SGAS 614 Sul, Asa Sul, Brasília–DF, CEP 70200-740."
27,Parque Olhos d'Água,"Quadras 413 e 414 Norte, Asa Norte, Brasília–DF, CEP 70876-000."
28,Planetário de Brasília,"SDC, Plano Piloto, Brasília–DF, CEP 70070-350."
29,Praça das Fontes,"Dentro do Parque da Cidade Sarah Kubitschek, no SRPS, Plano Piloto, Brasília–DF."
30,Praça do Cruzeiro,"Zona Cívico-Administrativa, no extremo oeste do Eixo Monumental, Brasília–DF."
31,Praça dos Três Poderes,"Plano Piloto, Brasília–DF, CEP 70100-000."
32,Rodoviária do Plano Piloto,"Plataforma Superior do Eixo Monumental, Plano Piloto, Brasília–DF."
33,Santuário São João Bosco,"SHCS Quadra 702 Sul, Bloco B, Asa Sul, Brasília–DF."
34,Supremo Tribunal Federal,"Praça dos Três Poderes, Plano Piloto, Brasília–DF, CEP 70175-900."
35,Superquadra Sul 107 / Superquadra Sul 307,"SQS 107 Sul e SQS 307 Sul, respectivamente, Asa Sul."
36,Superquadra Sul 308,"SQS 308 Sul, Asa Sul, Brasília–DF."
37,Teatro Nacional Claudio Santoro,"SCTN – Setor Cultural Norte, Plano Piloto, Brasília–DF, CEP 70040-010."
38,Torre de TV de Brasília,"Eixo Monumental, região central do Plano Piloto, Brasília–DF."
39,Torre de TV Digital de Brasília,"Setor Habitacional Taquari, Lago Norte, Brasília–DF."
40,Ulysses Centro de Convenções,"SDC – Setor de Divulgação Cultural, Brasília–DF."
